#OTU ID,Abundance,Percentage
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides;s__Macellibacteroides fermentans,5.747135403520199,0.3114417307064842
d__Bacteria;p__Desulfobacterota_G_459546;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;__,5.738216866715279,0.31095842827094516
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales_616009;f__Xanthomonadaceae_616009;__;__,5.643322815145652,0.305816045922255
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,5.361119820405379,0.29052324648018335
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Eubacteriales_258471;f__Eubacteriaceae_258449;g__Acetobacterium;__,5.346939792000918,0.2897548197288235
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17_877549;g__SR-FBR-E99;s__SR-FBR-E99 sp002403305,5.243308732589252,0.28413897214006706
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;__;__,5.164294143009984,0.2798571101685261
d__Bacteria;p__Firmicutes_D;c__Bacilli;__;__;__;__,5.124865336015074,0.2777204324973049
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales_602909;f__Chromatiaceae_602909;g__;s__,4.967805882165156,0.26920925872177964
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Contendobacter;s__,4.937592061421719,0.2675719483118269
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__UBA6192;s__UBA6192 sp002842755,4.713517484137271,0.25542917295385514
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597432;f__Rhodocyclaceae;g__Zoogloea;__,4.691892684811735,0.2542573082847192
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-74;g__SFMI01;s__,4.65910860668735,0.252480713631247
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__;__;__,4.641146970812375,0.2515073586342871
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650611;f__Pseudomonadaceae;g__Pseudomonas_E_647464;__,4.619388939612922,0.25032827402643654
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae_390796;g__Phycicoccus_A_390395;s__,4.618017233271727,0.25025394019454855
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_1773;o__Methanomassiliicoccales;f__Methanomethylophilaceae;__;__,4.612181088893034,0.2499376749983536
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_C_375578;__,4.605158135814948,0.24955709571707033
d__Bacteria;p__Desulfobacterota_G_459546;c__Desulfuromonadia;o__Geobacterales;__;__;__,4.574713201154776,0.24790726106448813
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592522;f__Burkholderiaceae_A_592522;g__Ottowia_589937;s__Ottowia beijingensis,4.56194552030417,0.24721537052389192
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;__;__;__,4.430550275281759,0.2400949601553948
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp902765005,4.4114811244532515,0.23906158806301364
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_R_446353;s__Desulfovibrio_R_446353 desulfuricans_A_446139,4.3844013953877905,0.23759411651500661
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium_485351;__,4.367443495222172,0.23667515473563164
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_R_446353;__,4.335701729853373,0.23495504381983817
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_501396;f__Rhizobiaceae_A_499470;__;__,4.292933064155657,0.23263737661179837
d__Bacteria;p__Desulfobacterota_G_459546;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;__;__,4.27213257000145,0.23151018168004706
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae_409200;__;__,4.245321854759702,0.23005728820006147
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_504705;f__Xanthobacteraceae_503485;__;__,4.225590951965513,0.22898805525474758
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__Lentimicrobium saccharophilum,4.21788830639668,0.22857064290954573
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17_877549;__;__,4.185479327852884,0.22681437519364564
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;__,4.125901026389889,0.22358578076922636
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__UBA3362 sp002360455,4.072379209843291,0.22068539196585532
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;__;__;__,4.051605730027933,0.21955966096210539
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;__;__,4.036386961149023,0.2187349440577557
d__Bacteria;p__Desulfobacterota_I;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus_A_451156;__,4.018291187922259,0.21775432005353207
d__Bacteria;p__Desulfobacterota_I;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;__;__,4.008050764017297,0.2171993835294725
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;__;__,3.989297432925252,0.2161831259538739
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__;__,3.944878338227682,0.213776020716619
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592522;f__Burkholderiaceae_A_592522;g__Limnohabitans_A;s__,3.9407427671382806,0.2135519109076255
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__,3.914963284621104,0.21215490072983337
