condition,BIOFILME,CHORUME,LODO,OLEO,PEIXE,SEDIMENTO,SOLO
BIOFILME,0.0,0.22249388753056235,0.2733485193621868,0.18717948717948718,0.24407582938388625,0.22572815533980584,0.2623762376237624
CHORUME,0.22249388753056235,0.0,0.075,0.0819277108433735,0.037825059101654845,0.03827751196172249,0.0847457627118644
LODO,0.2733485193621868,0.075,0.0,0.12045454545454545,0.05203619909502263,0.0659090909090909,0.1318181818181818
OLEO,0.18717948717948718,0.0819277108433735,0.12045454545454545,0.0,0.08962264150943396,0.07228915662650602,0.13768115942028986
PEIXE,0.24407582938388625,0.037825059101654845,0.05203619909502263,0.08962264150943396,0.0,0.028368794326241134,0.10141509433962265
SEDIMENTO,0.22572815533980584,0.03827751196172249,0.0659090909090909,0.07228915662650602,0.028368794326241134,0.0,0.0889423076923077
SOLO,0.2623762376237624,0.0847457627118644,0.1318181818181818,0.13768115942028986,0.10141509433962265,0.0889423076923077,0.0
