#OTU ID,SRR12327344_ALBARRACIN-ARIAS_2021,SRR12328004_ALBARRACIN-ARIAS_2021
K00001,0.0668569805780794,0.040641532156369294
K00002,0.04836403995309172,0.0
K00003,0.0627162966289607,0.03926132721101353
K00004,0.08075090045564322,0.12229283540316593
K00005,0.07041923336051954,0.1309576752116495
K00006,0.0,0.0
K00007,0.0,0.0
K00008,0.06915038177350817,0.06121048990687241
K00009,0.08720948998025259,0.10821609759240716
K00010,0.05781834718065648,0.051866343753000234
K00011,0.0,0.0
K00012,0.07121512282938207,0.042712239311238014
K00013,0.07177274035056329,0.0437190132770722
K00014,0.06996525570006443,0.04925721473777437
K00015,0.08603122698898337,0.031893126532062825
K00016,0.06957132912485854,0.07911365342544778
K00018,0.06543449952432934,0.08935745539847079
K00019,0.06154010769283002,0.039213322070535024
K00020,0.05690176161064458,0.044713321168575154
K00021,0.01460119472563954,0.0
K00023,0.06303761542199736,0.029809614780595427
K00024,0.07115514324562647,0.04094536233367925
K00027,0.05293331804852784,0.06984135304292505
K00029,0.07141703121112744,0.04400358324912742
K00030,0.07312493207527718,0.097849650107032
K00031,0.0725531232416684,0.04961178637991168
K00032,0.11208168887176027,0.06001745261188931
K00033,0.07539473251575222,0.04955017231520942
K00034,0.031555119025182175,0.05317198258026823
K00035,0.09237196422634678,0.08459525536738599
K00036,0.0723049165112103,0.046412325918103146
K00038,0.03734377814587761,0.0
K00039,0.08209178802134981,0.0
K00040,0.10737707535969986,0.12423165545972033
K00041,0.09522185852647601,0.08958132509784843
K00042,0.06363924887679104,0.05621418690983203
K00043,0.0,0.0
K00045,0.08053832985897293,0.020926106806833086
K00046,0.09993149491946575,0.06843109402668957
K00048,0.0934165863037128,0.08984196050606144
K00050,0.06892628099919819,0.01996259935220239
K00051,0.0,0.0
K00052,0.07124197935058733,0.04317638849762922
K00053,0.07252684474621861,0.048282365076657306
K00054,0.0723423305168274,0.03655465311844826
K00055,0.05221419965046687,0.061943899503913415
K00057,0.06954728110062655,0.0457627659866239
K00058,0.06976866448739588,0.045551006049238625
K00059,0.06810547511441165,0.04783973654059085
K00060,0.08577170309452245,0.08245125529419817
K00064,0.09065331864601622,0.09269072626343124
