,BIOFILME,CHORUME,LODO,OLEO,PEIXE,SEDIMENTO,SOLO
1CMET2-PWY,486.7581177856869,1134.0825503786016,1625.1523944544676,1618.1232879330796,2500.227797052928,2010.864350447717,2446.294020708353
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0.0845701445443956,16.666320402657256,33.51363344922984,82.3576692051994,61.35037889040418,70.85407155367974,118.7573035835722
AEROBACTINSYN-PWY,0.0,0.0,1.880831058580737,0.0,0.4494221720850578,1.3809231560427122,4.588235294117646
ALL-CHORISMATE-PWY,1.195827694080122,21.199128632769167,162.578592801667,515.3481958352268,470.59056343394735,376.6210173777702,820.9292091957368
ANAEROFRUCAT-PWY,1184.7489181424687,1155.6605398942356,1486.0515552152715,1471.2451895308675,2489.2869471038757,1879.773155325003,2075.3623883175796
ANAGLYCOLYSIS-PWY,1169.7884420628939,1759.4232408634075,2156.13155728021,2086.4636430062324,2955.3110978871287,2875.068714040649,2839.806337934915
ARG+POLYAMINE-SYN,286.3758240909498,400.3817155190167,588.8771842426759,763.3434686855903,1333.9832465372322,936.4015491712006,1171.7944509380582
ARGDEG-PWY,0.11666034290936116,0.11358622704351348,30.805309548234572,5.558357848669995,19.64916486464694,8.636376548886842,48.44336865327982
ARGORNPROST-PWY,22.48674657738896,184.32332014964248,431.24344622773066,414.38062652426345,975.7963232088676,508.03885627988836,342.3401074204414
ARGSYN-PWY,2597.509443923902,1599.722881527794,1696.0989264904988,1616.8566811453657,2308.170519684282,2467.4142558784465,2099.248748484056
ARGSYNBSUB-PWY,2681.751447573403,1652.411188378396,1899.202253725153,1679.6346965028542,2673.4958233872544,2686.989807990097,2425.248584293646
ARO-PWY,926.867101086847,1367.4455865435073,2066.9756548634464,1892.538047250685,2876.361871261752,2695.126316470681,2691.8252666162325
ASPASN-PWY,485.11198469055023,576.4258788757286,992.6686373023038,967.2424101322179,748.6568277421562,799.2832784035734,590.9089948815889
AST-PWY,0.05,55.5916450775998,141.32092348002243,266.48246213581524,74.1498603125222,165.22232844397251,213.4089717666799
BENZCOA-PWY,0.0,0.0,0.3442336891049375,0.0,0.0,0.0,15.101671407857841
BIOTIN-BIOSYNTHESIS-PWY,4.180819103017096,508.9513522250365,1084.5238726684195,1038.8445931587507,1706.1280985495232,1268.6874928240538,2078.08082435824
BRANCHED-CHAIN-AA-SYN-PWY,2879.7532646269397,1966.6734782590972,2463.648903799334,2351.4814773692096,3563.4379626774244,3364.970448991999,3521.3788184424393
CALVIN-PWY,2197.4297308884675,1935.0663814051802,2278.0667961219333,2066.5460156034715,3129.4145640594675,2882.0726374983915,2730.800564693217
CATECHOL-ORTHO-CLEAVAGE-PWY,0.0,45.21966324450692,182.02139760747872,73.25785724701728,347.48244820727814,114.12754744470104,153.44719317881155
CENTBENZCOA-PWY,0.0,1.1328125000000002,3.6506418146650947,25.928899082568808,0.09897435897435898,4.7213115403785695,32.630847110558385
CENTFERM-PWY,21.462288284987185,272.8643555113817,414.21621783054223,812.569321921442,722.3713638768241,717.8414875012678,263.6435247650423
CHLOROPHYLL-SYN,0.0,5.980829120856877,21.37798539049414,0.0,14.746590735169162,14.206818895246432,26.075072404174765
COA-PWY,2697.7425246770795,2041.5658581317232,1988.3802553151943,1885.5440199952768,2671.8150294308093,2643.09415916523,2619.6059375814375
COBALSYN-PWY,303.90857069448725,579.4977495495401,1316.2209831025014,1247.684713776972,1910.602171533308,1457.2106836087203,1054.7446009499895
CODH-PWY,76.14662710510743,213.30084683370578,357.5500909492781,303.8931303861942,276.65176115906223,924.3133548147242,304.93723767876895
COLANSYN-PWY,164.97579447314075,893.5825061565729,1417.0870222525866,1110.5665782612753,1595.5196471909112,1726.9495059006342,1907.573856190355
COMPLETE-ARO-PWY,1025.2415246472756,1443.756614540145,2176.247882335992,2000.1309895692216,3000.765129755176,2861.946927054729,2857.689929774846
CRNFORCAT-PWY,0.0,5.446618218980153,36.105602901474846,97.9369706029885,120.8217501609246,13.952318199377338,75.07196230416213
DAPLYSINESYN-PWY,2657.5974904445775,1539.9861102696534,1566.7855070298563,1596.100866237307,2636.98246134958,2077.567008391375,2365.996017704119
DENITRIFICATION-PWY,2.0113982795782444,19.487649105974437,243.77087228836223,114.2714819912856,259.8958368977645,155.98685284960098,501.9393411557902
DENOVOPURINE2-PWY,1862.7160880896818,1821.446744333136,1656.0139561753447,1799.4713542964578,2426.3339107436227,2218.555460930739,1774.9801523503425
DHGLUCONATE-PYR-CAT-PWY,0.0,11.614418500697022,6.498302231121839,36.064113126155725,12.869046735430464,62.341196405871216,60.901566724279476
DTDPRHAMSYN-PWY,2772.8874343134835,2011.0287610487794,1941.5477568917036,2012.16263137912,2602.3230064766963,2671.7494779771123,2688.706289969942
ECASYN-PWY,0.10575792924886004,4.955369534836658,8.951439946514416,68.30448249646606,11.897199091784225,1.744738811934892,0.0
