index	Group	d__Bacteria;p__Firmicutes	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Desulfobacterota	Unassigned;__	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Chloroflexi	d__Archaea;p__Halobacterota	d__Bacteria;p__Synergistota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Patescibacteria	d__Bacteria;__	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Campylobacterota
DRR445947_FIHES_2023	LODO	0.014391014391014392	0.14847314847314846	0.037206037206037205	0.06633906633906633	0.0	0.0	0.0	0.015795015795015795	0.14917514917514918	0.0	0.037206037206037205	0.3323973323973324	0.0	0.0	0.0
DRR445948_FIHES_2023	LODO	0.00351000351000351	0.030537030537030538	0.0	0.06633906633906633	0.0	0.0	0.0	0.011232011232011231	0.3281853281853282	0.0	0.01368901368901369	0.2937872937872938	0.0	0.006669006669006669	0.0
SRR10131528_ZHANG_2020	LODO	0.14391014391014392	0.04317304317304317	0.004914004914004914	0.0	0.0	0.0	0.03088803088803089	0.2523692523692524	0.0	0.13583713583713583	0.0	0.12706212706212705	0.001053001053001053	0.0873990873990874	0.0
SRR10131529_ZHANG_2020	LODO	0.07371007371007371	0.2544752544752545	0.001755001755001755	0.09792909792909793	0.0	0.016848016848016848	0.03931203931203931	0.20182520182520183	0.0	0.04703404703404703	0.009828009828009828	0.09757809757809757	0.0	0.06633906633906633	0.002457002457002457
SRR10131541_ZHANG_2020	LODO	0.2127062127062127	0.20358020358020357	0.008775008775008775	0.0716040716040716	0.0	0.008424008424008424	0.03229203229203229	0.14426114426114425	0.0	0.0680940680940681	0.009828009828009828	0.07581607581607581	0.010179010179010179	0.033345033345033345	0.011583011583011582
SRR10131550_ZHANG_2020	LODO	0.05616005616005616	0.14215514215514216	0.002808002808002808	0.08845208845208845	0.0	0.040716040716040715	0.05896805896805897	0.3088803088803089	0.0	0.0343980343980344	0.03194103194103194	0.060372060372060374	0.005616005616005616	0.044928044928044926	0.018603018603018603
SRR10131551_ZHANG_2020	LODO	0.06458406458406458	0.26956826956826957	0.001053001053001053	0.0687960687960688	0.0	0.02141102141102141	0.04141804141804142	0.24183924183924185	0.00351000351000351	0.04141804141804142	0.010179010179010179	0.07722007722007722	0.005616005616005616	0.06669006669006669	0.015444015444015444
SRR10131553_ZHANG_2020	LODO	0.0702000702000702	0.14636714636714637	0.0	0.09722709722709723	0.0	0.02457002457002457	0.056862056862056864	0.25587925587925586	0.0	0.048789048789048786	0.03474903474903475	0.07300807300807301	0.009126009126009126	0.057564057564057566	0.014391014391014392
SRR10267800_ZHANG_2020	LODO	0.0	0.0	0.35766935766935765	0.0	0.11302211302211303	0.0	0.0	0.0	0.06353106353106353	0.0	0.0	0.0	0.008775008775008775	0.0	0.0
SRR10267802_ZHANG_2020	LODO	0.18462618462618463	0.16567216567216567	0.005616005616005616	0.3488943488943489	0.0	0.002457002457002457	0.006318006318006318	0.08634608634608634	0.0	0.09687609687609687	0.00351000351000351	0.03123903123903124	0.0	0.026676026676026678	0.011934011934011933
