#OTU ID,SRR2225468_CERILLO_2016,SRR2154305_CERILLO_2016,SRR2053264_CERILLO_2016,SRR3211889_CERILLO_2016,SRR2053255_CERILLO_2016,SRR2053265_CERILLO_2016,SRR2053262_CERILLO_2016,SRR3189287_CERILLO_2016,SRR1802176_CERILLO_2016,SRR2053258_CERILLO_2016,SRR3342207_CERILLO_2016,SRR2053259_CERILLO_2016,SRR3342204_CERILLO_2016,SRR3342206_CERILLO_2016,SRR3211888_CERILLO_2016,SRR2053260_CERILLO_2016,SRR3211891_CERILLO_2016,SRR2154307_CERILLO_2016,SRR2154303_CERILLO_2016,SRR1802174_CERILLO_2016,SRR3211890_CERILLO_2016,SRR2053267_CERILLO_2016,SRR2053257_CERILLO_2016,SRR3342205_CERILLO_2016,SRR1802177_CERILLO_2016,SRR2225470_CERILLO_2016,SRR2053256_CERILLO_2016,SRR3189289_CERILLO_2016
K00001,0.036236576357832076,0.013493221513682875,0.011507057970648493,0.034839348139454274,0.06302675221043799,0.029803798475416872,0.0,0.039092960859204245,0.06383133535236642,0.042105717742251775,0.06500893704110247,0.08375091023909233,0.029988343882664085,0.030805119907287588,0.010238479866939548,0.04217118268700801,0.040068692835814636,0.009965404525401804,0.02126990775080776,0.07276034473005907,0.0,0.0046977367447858165,0.030595757499570712,0.09654677651161334,0.02118934455090008,0.029803798475416872,0.11914575489340648,0.022406776193940117
K00002,0.016959923394505583,0.0,0.0,0.026274200343949474,0.0,0.0,0.0,0.023984953681318536,0.026274200343949474,0.09351056436063218,0.05363198686861208,0.05776341764430992,0.023984953681318536,0.013137100171974737,0.02145279474744483,0.12135533313057109,0.0,0.0,0.0,0.04675528218031609,0.010726397373722414,0.0,0.04422606935420539,0.0,0.11080425597445882,0.016959923394505583,0.0,0.06655554540255429
K00003,0.0776821673932184,0.07290723916234601,0.07278316852673301,0.06373477775390347,0.07381201718414343,0.07138929002814676,0.04534467251029821,0.0770052128155276,0.0464333348961334,0.0504066038008645,0.06000942505693234,0.061580663428511595,0.06845707451582023,0.07216758690119222,0.06397143324663325,0.05157079588976842,0.06463000637754998,0.059612139563301844,0.07430986202347807,0.06612545694705896,0.061250497832823804,0.06638158921557091,0.05382964954097301,0.06408995111522713,0.06482825315407416,0.06254036804607088,0.06882918744665739,0.07718930511904394
K00004,0.0,0.0,0.0,0.05211379976837833,0.022911566825123356,0.0,0.0,0.0,0.18458973786821375,0.02903867003862199,0.06715438117374013,0.02184532182875553,0.0,0.0,0.0,0.05612164792923101,0.04393571618932252,0.0,0.0,0.10530487481488603,0.0,0.0,0.08244402462323454,0.013413098760067244,0.0,0.0,0.07302679035009182,0.0
K00005,0.0,0.0,0.0,0.12800526326107972,0.0,0.0,0.0,0.0,0.05294720016934197,0.007139399014396821,0.08871259901207569,0.01308673455998662,0.0,0.0,0.0,0.0,0.11907610115809873,0.0,0.004515352402051042,0.020041248067417108,0.0,0.0,0.05463949563358642,0.04931252721596448,0.0,0.006385672605874517,0.0,0.0
K00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018984494007449993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04650232334317747,0.0,0.0,0.02684812890012653,0.0,0.0,0.0,0.30552651651566404,0.0
K00008,0.056919132560669106,0.08699372758131747,0.028551698493752446,0.04054332894628111,0.010042381244360831,0.04382169621654809,0.0,0.06159918398220075,0.13074393626159794,0.030907865357596064,0.06692828339812018,0.026143965866226734,0.08189314074021399,0.06749097854092728,0.08531099901509384,0.08757144545769223,0.05349001885000475,0.04723656889411127,0.05442840934247504,0.03251649025647412,0.09335454355850538,0.005797971514736574,0.03317154239581072,0.07383996145900515,0.08321301154845934,0.09625767792555646,0.02390564896958132,0.02711752868302375
K00009,0.0,0.0,0.0,0.14862238143174952,0.0,0.0,0.0,0.0,0.08996744667050942,0.030972659791616612,0.09855439996516212,0.019588830027004928,0.0,0.0,0.0,0.12887194863388649,0.13774348314616333,0.0,0.007743164947904153,0.0442039105187156,0.0,0.0,0.08303619326656254,0.10014460071549652,0.0,0.010950488885018013,0.0,0.0
K00010,0.0,0.0,0.0,0.0,0.0507069978538885,0.0,0.0,0.0,0.12034569133744517,0.015525783891303562,0.049300985299632366,0.017927631018048132,0.0,0.0,0.0,0.03486106102454834,0.0,0.0,0.004481907754512033,0.09719955000116245,0.0,0.0,0.03787941286871264,0.007086518383514414,0.0,0.006338374731736062,0.10629777575271622,0.0
K00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00012,0.06928840160746252,0.04539168807895673,0.06291160239228553,0.06342601269898068,0.07022523703318828,0.0559789587270173,0.044441605761999646,0.06913748359982406,0.058621568896713945,0.05097873109841212,0.06737960570818956,0.06203872326185188,0.06182682798685008,0.06047736525935107,0.05941682854975947,0.07517535344459,0.06626968070943579,0.050059976123724655,0.04242291871980732,0.07040567519231364,0.05818800765888965,0.06505955946872068,0.06287088295895016,0.06830808579961481,0.0600513636811087,0.059258702152599034,0.06723752109567264,0.07427707130211553
K00013,0.0485705459924609,0.06250859571491324,0.04182999434488542,0.06010601928934047,0.07145296942595471,0.05579347653008115,0.04440062896713623,0.05210548510127906,0.06236800831012874,0.053958926577917225,0.06521724460597943,0.063395781267194,0.06083906431796424,0.061294376765989166,0.055074363233329086,0.07204282809060424,0.06207615745900794,0.05429180054921306,0.06688970198450638,0.06767656407555436,0.05600292351222382,0.02882698374439591,0.06018975290178907,0.07053381704789717,0.05107136688547176,0.05594744837289128,0.06740721292328129,0.03735917792745848
K00014,0.03503349822816794,0.036594797571000606,0.02323899814241169,0.06262962558209297,0.07236964437401248,0.030486675121639092,0.04109105423365921,0.03988005299230426,0.06296007035746573,0.05708475636459742,0.06527803041704865,0.063352905010552,0.04870618579199043,0.04276449372629775,0.04621134124012125,0.06758281958627986,0.0643025779675467,0.040949699827578116,0.02952611672073793,0.07298476285674695,0.047177393400287156,0.02667825163716786,0.06484658127902587,0.06489757405911648,0.0458311121678517,0.04791209985900425,0.08378614671404004,0.032166630954235526
K00015,0.03282707987176543,0.06919064428556256,0.016128065290421507,0.05406654614051595,0.03806848173352833,0.0,0.0,0.02748764561514347,0.011672636683680114,0.010558297143792358,0.05756182021603112,0.01268949391117611,0.030782461368467885,0.037741707604762656,0.00995445801087751,0.025621854483494997,0.0520828430358559,0.010558297143792358,0.03206355494579641,0.058662719872676114,0.010558297143792358,0.0,0.017945654388836066,0.0684255860056586,0.015340850088555005,0.03007004344691243,0.06756026923790359,0.012931220277488152
K00016,0.014152914625391413,0.004003048762067414,0.006933483841076458,0.10317387397869932,0.05348228951139683,0.0,0.012009146286202243,0.016504992870501965,0.09364482135704356,0.06271514036212536,0.09878288318047568,0.05719809001849139,0.02155707731472878,0.024595143362638218,0.006933483841076458,0.030407364977730996,0.09292980922211372,0.008491748775234849,0.004902713441272515,0.03902715928889871,0.0,0.0,0.10314591357873366,0.08905366573502231,0.017545048085158173,0.022732947023550092,0.020992164806564375,0.020411623751645184
