	observed_features
SRR3216397_ZHAO_2017	383
SRR3216398_ZHAO_2017	349
SRR3216403_ZHAO_2017	199
SRR3216404_ZHAO_2017	275
SRR5121312_ZHAO_2017	227
SRR5121313_ZHAO_2017	187
SRR5121314_ZHAO_2017	216
SRR5121315_ZHAO_2017	270
SRR5133614_SRINIVASAN_BUTLER_2017	128
SRR5133615_SRINIVASAN_BUTLER_2017	44
SRR5133617_SRINIVASAN_BUTLER_2017	103
SRR5133618_SRINIVASAN_BUTLER_2017	103
SRR5133619_SRINIVASAN_BUTLER_2017	101
SRR5133620_SRINIVASAN_BUTLER_2017	154
SRR5133621_SRINIVASAN_BUTLER_2017	58
SRR5133622_SRINIVASAN_BUTLER_2017	86
SRR5133623_SRINIVASAN_BUTLER_2017	25
SRR5133624_SRINIVASAN_BUTLER_2017	86
SRR5133626_SRINIVASAN_BUTLER_2017	74
SRR5340195_PENN_2017	65
SRR5340196_PENN_2017	73
SRR5340197_PENN_2017	92
SRR5487629_PARK_2017	831
SRR5487632_PARK_2017	775
SRR5487635_PARK_2017	825
SRR5487638_PARK_2017	808
SRR5487641_PARK_2017	667
SRR6072276_ALAGAPPA_2017	201
SRR6072278_ALAGAPPA_2017	295
SRR6914763_SCHMIDT_2018	112
SRR6914768_SCHMIDT_2018	99
SRR8272157_ZHEJIANG_2020	111
SRR8272160_ZHEJIANG_2020	122
SRR8618605_LIU_2019	50
SRR8618606_LIU_2019	150
SRR8618613_LIU_2019	28
SRR8618614_LIU_2019	156
SRR10168396_GUO_2020	212
SRR1802174_CERILLO_2016	463
SRR1802176_CERILLO_2016	136
SRR1802177_CERILLO_2016	180
SRR2053255_CERILLO_2016	42
SRR2053256_CERILLO_2016	60
SRR2053257_CERILLO_2016	211
SRR2053258_CERILLO_2016	294
SRR2053259_CERILLO_2016	151
SRR2053260_CERILLO_2016	147
SRR2053262_CERILLO_2016	28
SRR2053264_CERILLO_2016	70
SRR2053265_CERILLO_2016	56
SRR2053267_CERILLO_2016	29
SRR2154303_CERILLO_2016	50
SRR2154305_CERILLO_2016	42
SRR2154307_CERILLO_2016	24
SRR2225468_CERILLO_2016	91
SRR2225470_CERILLO_2016	108
SRR3189287_CERILLO_2016	130
SRR3189289_CERILLO_2016	88
SRR3211888_CERILLO_2016	80
SRR3211889_CERILLO_2016	59
SRR3211890_CERILLO_2016	46
SRR3211891_CERILLO_2016	47
SRR3342204_CERILLO_2016	158
SRR3342205_CERILLO_2016	157
SRR3342206_CERILLO_2016	152
SRR3342207_CERILLO_2016	172
SRR5124915_PARK_2017	125
SRR5895950_ZHANG_2018	284
SRR5922774_IRENA_2017	44
SRR5922775_IRENA_2017	32
SRR5922776_IRENA_2017	15
SRR5922777_IRENA_2017	23
SRR6023942_IRENA_2017	23
SRR6796664_ZAKARIA_2018	55
SRR6796665_ZAKARIA_2018	69
