#OTU ID,SRR6072276_ALAGAPPA_2017,SRR6072278_ALAGAPPA_2017
K00001,0.09607273641488107,0.0792634324317024
K00002,0.0,0.09683507345197001
K00003,0.06794451350756046,0.06516643490635493
K00004,0.12024257293296851,0.059525996733184816
K00005,0.0,0.020691944171799575
K00006,0.25993762245501817,0.3075623426146228
K00007,0.0,0.0
K00008,0.07145279519385642,0.05898563406855615
K00009,0.08046933060693848,0.062427391597593994
K00010,0.10821742383245787,0.05633670690547066
K00011,0.42742520713255516,0.2401922307076307
K00012,0.07705955711836816,0.07358356630012024
K00013,0.07397021700977778,0.07210144202216055
K00014,0.07607148346663159,0.06708175360396071
K00015,0.09027875730413606,0.07998485990404063
K00016,0.03776468649204653,0.030022865715505602
K00018,0.05854767307404206,0.06582952397659543
K00019,0.120016797265191,0.08283131418234431
K00020,0.09076799195471852,0.07723159098669664
K00021,0.015994807435516463,0.037511148435443696
K00023,0.11009388891090215,0.0700878890671516
K00024,0.08341931948463134,0.08076247908157574
K00027,0.056444289939581574,0.045623170426631825
K00029,0.08605521015050299,0.07580045480869858
K00030,0.08542560254763398,0.085507471818288
K00031,0.08198423937148255,0.0776478469072845
K00032,0.12463560101436862,0.1039532772646497
K00033,0.08742240594612875,0.07561620076256985
K00034,0.08389870805208867,0.09533960371653041
K00035,0.1573912507050005,0.07985297608022579
K00036,0.0926267899273738,0.07437904286601062
K00038,0.19447469403389028,0.058571427376093325
K00039,0.0,0.0
K00040,0.09145879510033561,0.06323559115615837
K00041,0.08317657536335364,0.08426701457201673
K00042,0.07678761041691164,0.05884358498635033
K00043,0.21881411509101578,0.06406221326384731
K00045,0.09460243666647561,0.055857419971730486
K00046,0.07045108264423385,0.06916754461782347
K00048,0.0,0.0
K00050,0.07584471511382154,0.05788612597703011
K00051,0.2556549962824568,0.1533929977694741
K00052,0.07454271869443944,0.07069353362270268
K00053,0.07356462177078951,0.07183659348133865
K00054,0.07138447319151422,0.061005079358560726
K00055,0.14742743970008884,0.026586169138866803
K00057,0.07509820285334809,0.07007809417560876
K00058,0.07280588899894767,0.07052861551327858
K00059,0.08754102164009334,0.07647351954497593
K00060,0.10485386730499933,0.07925887999296588
K00064,0.13948538364211083,0.10453310749370405
K00065,0.10149802973258823,0.08755076492771846
K00066,0.07563340198421045,0.06015484234793755
K00067,0.07527752124754372,0.07203787987479969
K00068,0.0,0.0
K00073,0.023401355530016894,0.0
K00074,0.08110332514116714,0.07167845267647188
K00075,0.07424368341532914,0.06553769331184574
K00076,0.12299134275147529,0.0
K00077,0.08282103456705017,0.07415781176737801
K00078,0.0,0.0
K00082,0.11390815943972388,0.0
K00086,0.04918568315123807,0.06162491970392315
K00087,0.0599228926672055,0.05286482654815478
K00088,0.07371609228045918,0.0658515465700444
K00090,0.09521829715041022,0.04322486941899026
K00091,0.11687293860570816,0.07840341599074574
K00094,0.0,0.0
K00096,0.02750871977517811,0.0
K00097,0.08218215514452831,0.08112233093342643
K00098,0.04355313673241048,0.05029083043301954
K00099,0.07111014049387739,0.07038841267645474
K00100,0.07673194526155999,0.07365749177030156
K00101,0.08809973767601634,0.044665086249382646
K00102,0.0782949899627865,0.06247726438130826
K00103,0.0782078150573728,0.1160009359415091
K00104,0.07497454939330037,0.07028721304171164
K00105,0.0,0.0
K00106,0.0,0.42491829279939874
K00108,0.10748203654932001,0.07469709269331828
K00109,0.0,0.2720739350073127
K00111,0.08709290056986588,0.06987217975198862
K00112,0.013969397543816752,0.0
K00113,0.06147968757997896,0.0360960467593187
K00114,0.12390418341885458,0.09080614241939741
K00116,0.1222099493973614,0.0970479381187371
K00117,0.14229606069675724,0.10870762819943157
K00118,0.11782020274193934,0.1381933588856232
K00121,0.12453585091604462,0.07148724278877658
K00122,0.17002592242448947,0.0782050754558513
K00123,0.0653877810913702,0.0455534502769621
K00124,0.0772246187449651,0.048900427311200326
K00125,0.0,0.0
K00126,0.10630161813747503,0.07671658480870501
K00127,0.0823224724309361,0.054252631324265214
K00128,0.10887008335417755,0.08168044682663188
K00129,0.0,0.0
K00130,0.09681750792097579,0.07318470105018887
K00131,0.06877818014830228,0.08348110411038509
K00132,0.1388402660962477,0.0
K00133,0.0723719315446109,0.07113809699394286
K00134,0.07628292932216192,0.07323125273296612
K00135,0.09022485618045112,0.07152515117589517
K00137,0.07708407760519867,0.10368987714806023
K00138,0.08822348593043497,0.05733106520495973
K00140,0.1033195528927774,0.07285464313291169
K00141,0.09138560773215025,0.06517434075121539
K00145,0.07603472701924648,0.0731635790729541
K00146,0.12731648304888202,0.11309271332055111
K00147,0.07270960614297095,0.06772606873663918
K00148,0.0714200421514879,0.08398705741868762
K00150,0.04230342165860932,0.03713295468660973
K00151,0.10481623247326433,0.0757505246821681
K00152,0.0,0.0
K00153,0.10512770616989774,0.021214964350718547
K00154,0.10852447239825373,0.0695364293414989
K00156,0.10917043053695615,0.07261636792567698
K00158,0.0435720540905471,0.0
K00161,0.09016366740579439,0.0815093480078161
K00162,0.08801426929976329,0.08087424648877256
K00163,0.09208072781027662,0.06746765933097223
K00164,0.09190367929021258,0.08359665682897109
K00166,0.14591767839058348,0.11547691823919191
K00167,0.1438828846820285,0.12007532981654259
K00169,0.05022678387269676,0.0375413298975083
K00170,0.04666723372885419,0.029829505558768073
K00171,0.026855435475714406,0.019586339336686687
K00172,0.04530634434265741,0.03430180488006472
K00174,0.05426057325086647,0.05702762450015012
K00175,0.05407045691347703,0.05698434589963882
K00176,0.029973433032795378,0.03099311571897768
K00177,0.028916583272855147,0.03051971720800314
K00179,0.02992477189135572,0.028502906937961932
K00180,0.03053882679587711,0.029634948667441856
K00183,0.0,0.0
K00184,0.07662742799836096,0.08686065070865155
K00185,0.07203377592563777,0.08386527275324714
K00186,0.03327775505294327,0.018602830609242064
